features,label
"[ 2.03031167e+02 -3.76586347e+00 -1.80349044e-01  4.99849153e-01
  2.79355180e-01 -8.32942947e-02 -1.00914650e-01 -1.94850202e-01
  1.34390675e-01 -8.08374896e-02  4.76824495e-01  2.27443962e-01
 -1.24713043e-02 -3.75733669e-01 -4.02775323e-01  2.16742560e-01
  1.57853424e-01  1.06341149e-01 -3.89308598e-01 -1.57947296e-01]",aggressive
"[ 2.03000919e+02 -3.80833806e+00 -2.16957049e-01  4.70008370e-01
  2.56625785e-01 -1.03681603e-01 -1.15162757e-01 -2.05404352e-01
  1.31292429e-01 -7.69272448e-02  4.75043804e-01  2.21232617e-01
 -1.36638512e-02 -3.68463927e-01 -3.85400677e-01  2.32388937e-01
  1.65749230e-01  1.06202757e-01 -3.93417378e-01 -1.62905415e-01]",non-aggressive
